City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Snezhnogorsk,69.1933,33.2531,-4.22,97,98,3.51,RU,2022-01-02 21:40:04
67,Yulara,-25.2406,130.9889,82.24,20,8,8.05,AU,2022-01-02 21:40:04
68,Burnie,-41.0667,145.9167,62.55,72,99,9.1,AU,2022-01-02 21:40:04
69,Nhulunbuy,-12.2333,136.7667,83.01,89,40,4.61,AU,2022-01-02 21:40:05
70,Walvis Bay,-22.9575,14.5053,62.1,82,0,4.61,NA,2022-01-02 21:32:23
71,Houma,29.5958,-90.7195,53.6,83,90,23.02,US,2022-01-02 21:40:05
72,Codrington,-38.2667,141.9667,62.15,55,76,12.39,AU,2022-01-02 21:40:05
73,Norman Wells,65.282,-126.8329,-27.36,62,75,10.36,CA,2022-01-02 21:40:06
74,New Norfolk,-42.7826,147.0587,58.66,73,100,2.21,AU,2022-01-02 21:36:48
75,Rudbar,30.15,62.6,60.82,69,100,3.87,AF,2022-01-02 21:40:06
76,Ponta Do Sol,32.6667,-17.1,72.12,16,8,4.52,PT,2022-01-02 21:37:19
77,Khash,28.2211,61.2158,53.73,74,100,20.45,IR,2022-01-02 21:40:07
78,Chokurdakh,70.6333,147.9167,-27.47,97,99,7.2,RU,2022-01-02 21:40:07
79,Fairbanks,64.8378,-147.7164,-22.0,61,1,4.61,US,2022-01-02 21:36:39
80,Agadez,19.75,10.25,57.97,35,97,9.8,NE,2022-01-02 21:40:07
81,Bandarbeyla,9.4942,50.8122,75.85,73,1,6.8,SO,2022-01-02 21:32:19
82,Vila Velha,-20.3297,-40.2925,80.55,85,0,11.01,BR,2022-01-02 21:40:08
83,Albany,42.6001,-73.9662,35.1,93,99,1.01,US,2022-01-02 21:36:32
84,Port Hawkesbury,45.6169,-61.3485,45.88,99,90,14.0,CA,2022-01-02 21:40:09
85,Guaraniacu,-25.1008,-52.8781,78.03,55,42,2.1,BR,2022-01-02 21:40:09
86,Baghdad,33.3406,44.4009,46.31,61,0,4.61,IQ,2022-01-02 21:38:05
87,Arraial Do Cabo,-22.9661,-42.0278,78.76,78,75,11.5,BR,2022-01-02 21:40:09
88,Malm,64.0721,11.2172,42.64,95,100,4.81,NO,2022-01-02 21:40:10
89,Homer,59.6425,-151.5483,13.87,40,1,12.66,US,2022-01-02 21:40:10
90,Russell,32.3502,-85.1999,63.68,94,90,4.61,US,2022-01-02 21:37:20
91,Grindavik,63.8424,-22.4338,24.75,68,20,16.11,IS,2022-01-02 21:40:11
92,Kazan,55.7887,49.1221,16.41,97,95,9.84,RU,2022-01-02 21:36:50
93,Tumsar,21.3833,79.7333,60.24,67,6,5.68,IN,2022-01-02 21:40:11
94,Asyut,27.181,31.1837,50.18,67,40,6.69,EG,2022-01-02 21:40:11
95,Ilulissat,69.2167,-51.1,14.02,44,92,3.44,GL,2022-01-02 21:40:12
96,Padang,-0.9492,100.3543,75.74,83,100,3.44,ID,2022-01-02 21:41:12
97,Bintulu,3.1667,113.0333,75.61,88,40,3.0,MY,2022-01-02 21:41:13
98,Saskylakh,71.9167,114.0833,-45.2,100,96,2.48,RU,2022-01-02 21:41:13
99,Taunsa,30.7048,70.6505,58.05,31,100,4.12,PK,2022-01-02 21:41:13
100,Aswan,24.0934,32.907,56.5,58,0,6.91,EG,2022-01-02 21:41:14
101,Tasiilaq,65.6145,-37.6368,8.76,58,100,6.49,GL,2022-01-02 21:41:14
102,Guerrero Negro,27.9769,-114.0611,63.37,39,75,4.21,MX,2022-01-02 21:32:17
103,Hilo,19.7297,-155.09,80.62,74,1,11.5,US,2022-01-02 21:38:31
104,Alofi,-19.0595,-169.9187,75.09,94,100,2.3,NU,2022-01-02 21:41:15
105,Yellowknife,62.456,-114.3525,-30.48,75,40,13.8,CA,2022-01-02 21:36:13
106,Hithadhoo,-0.6,73.0833,81.7,76,96,9.44,MV,2022-01-02 21:41:15
107,Huntington,38.4193,-82.4452,41.38,88,90,8.99,US,2022-01-02 21:40:00
108,Fortuna,40.5982,-124.1573,52.14,61,1,7.0,US,2022-01-02 21:41:16
109,Bayir,37.2687,28.2167,43.32,80,0,4.27,TR,2022-01-02 21:41:16
110,Pangody,65.85,74.4859,-15.25,99,82,9.42,RU,2022-01-02 21:41:16
111,Strezhevoy,60.7333,77.5889,12.18,96,98,5.59,RU,2022-01-02 21:36:52
112,Puerto Del Rosario,28.5004,-13.8627,64.15,45,0,5.75,ES,2022-01-02 21:41:17
113,Port Keats,-14.25,129.55,80.02,87,100,8.68,AU,2022-01-02 21:41:17
114,Katsuura,35.1333,140.3,41.14,66,0,10.51,JP,2022-01-02 21:41:17
115,Alpena,45.0617,-83.4327,19.54,69,75,4.0,US,2022-01-02 21:41:18
116,San Andres,12.5847,-81.7006,84.22,74,20,10.36,CO,2022-01-02 21:41:18
117,Belgrade,44.804,20.4651,48.69,87,0,0.0,RS,2022-01-02 21:41:18
118,Morondava,-20.2833,44.2833,78.06,73,17,6.58,MG,2022-01-02 21:41:19
119,Zhangye,38.9342,100.4517,17.49,47,33,3.44,CN,2022-01-02 21:41:19
120,Dingle,10.9995,122.6711,73.27,92,98,10.89,PH,2022-01-02 21:36:47
121,Mehamn,71.0357,27.8492,21.38,75,98,14.99,NO,2022-01-02 21:41:20
122,Bilma,18.6853,12.9164,59.09,39,11,1.77,NE,2022-01-02 21:36:51
123,Itarema,-2.9248,-39.9167,80.17,79,24,12.88,BR,2022-01-02 21:41:20
124,Waw,7.7029,27.9953,75.47,24,3,4.85,SS,2022-01-02 21:41:20
125,Tazovskiy,67.4667,78.7,-24.43,98,53,9.15,RU,2022-01-02 21:39:40
126,Faya,18.3851,42.4509,51.91,89,36,6.35,SA,2022-01-02 21:41:21
127,Georgetown,5.4112,100.3354,79.9,81,20,0.0,MY,2022-01-02 21:41:21
128,Llano Largo,7.9,-80.4333,87.48,69,88,5.68,PA,2022-01-02 21:41:22
129,Werda,-25.2667,23.2833,78.37,14,73,6.53,BW,2022-01-02 21:41:22
130,Sakakah,29.9697,40.2064,47.77,66,75,4.63,SA,2022-01-02 21:32:21
131,Cherskiy,68.75,161.3,-0.6,97,98,6.89,RU,2022-01-02 21:41:22
132,Lorengau,-2.0226,147.2712,81.41,82,97,10.85,PG,2022-01-02 21:41:23
133,Antofagasta,-23.65,-70.4,70.88,75,3,8.41,CL,2022-01-02 21:41:23
134,Avera,33.194,-82.5271,66.07,86,100,2.91,US,2022-01-02 21:41:23
135,Thompson,55.7435,-97.8558,-16.44,76,75,0.0,CA,2022-01-02 21:41:24
136,Port-Cartier,50.0334,-66.8654,5.76,76,100,10.36,CA,2022-01-02 21:41:24
137,Barrow,71.2906,-156.7887,-25.58,68,1,3.44,US,2022-01-02 21:33:25
