City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Avarua,CK,-21.2078,-159.775,78.85,89,75,11.5,light rain,2022-01-12 00:07:49
60,Punta Arenas,CL,-53.15,-70.9167,48.31,76,100,8.05,light rain,2022-01-12 00:07:13
61,Fairbanks,US,64.8378,-147.7164,8.1,81,90,0.0,light snow,2022-01-12 00:12:00
62,Biloela,AU,-24.4167,150.5,82.98,50,5,7.47,clear sky,2022-01-12 00:14:03
63,Severo-Kurilsk,RU,50.6789,156.125,29.28,84,79,10.02,broken clouds,2022-01-12 00:07:59
64,Fortuna,US,40.5982,-124.1573,58.93,81,0,1.01,clear sky,2022-01-12 00:08:18
65,Yellowknife,CA,62.456,-114.3525,-29.7,78,99,4.0,overcast clouds,2022-01-12 00:06:44
66,Pochutla,MX,15.7432,-96.4661,82.22,61,88,6.29,overcast clouds,2022-01-12 00:11:17
67,Vaini,TO,-21.2,-175.2,84.36,94,75,9.22,broken clouds,2022-01-12 00:08:08
68,Klaksvik,FO,62.2266,-6.589,49.12,88,100,38.01,overcast clouds,2022-01-12 00:09:07
69,Askarovo,RU,53.3372,58.5089,-1.25,85,75,8.95,mist,2022-01-12 00:14:03
70,Lazaro Cardenas,MX,17.9583,-102.2,80.64,60,49,4.21,scattered clouds,2022-01-12 00:10:49
71,Mudgee,AU,-32.5943,149.5871,77.05,65,40,8.05,scattered clouds,2022-01-12 00:14:04
72,Buchanan,LR,5.8808,-10.0467,80.26,82,62,10.42,broken clouds,2022-01-12 00:14:04
73,Vernon,CA,50.2581,-119.2691,40.14,75,100,8.01,overcast clouds,2022-01-12 00:10:19
74,Te Anau,NZ,-45.4167,167.7167,60.13,53,90,5.53,overcast clouds,2022-01-12 00:14:05
75,Nantucket,US,41.2835,-70.0995,17.71,61,20,10.36,few clouds,2022-01-12 00:09:34
76,Chokurdakh,RU,70.6333,147.9167,-20.2,99,100,3.24,overcast clouds,2022-01-12 00:09:08
77,Ionia,US,42.9873,-85.0711,27.09,64,0,17.27,clear sky,2022-01-12 00:13:23
78,Hermanus,ZA,-34.4187,19.2345,63.9,73,97,11.7,overcast clouds,2022-01-12 00:08:11
79,Kudahuvadhoo,MV,2.6708,72.8944,81.39,75,76,8.37,broken clouds,2022-01-12 00:08:28
80,Mareeba,AU,-17.0,145.4333,80.44,82,76,4.68,broken clouds,2022-01-12 00:14:05
81,Husavik,IS,66.0449,-17.3389,27.21,78,28,18.52,scattered clouds,2022-01-12 00:09:57
82,Hamilton,US,39.1834,-84.5333,31.23,51,0,1.01,clear sky,2022-01-12 00:09:27
83,Arraial Do Cabo,BR,-22.9661,-42.0278,75.18,90,99,6.24,overcast clouds,2022-01-12 00:08:26
84,Torbay,CA,47.6666,-52.7314,21.58,86,100,8.05,light shower snow,2022-01-12 00:10:31
85,Buala,SB,-8.145,159.5921,84.99,71,91,6.51,light rain,2022-01-12 00:09:39
86,Abu Samrah,SY,35.3029,37.1841,48.87,63,56,4.79,broken clouds,2022-01-12 00:10:53
87,Grajau,BR,-5.8194,-46.1386,73.42,96,100,3.74,overcast clouds,2022-01-12 00:14:07
88,Butaritari,KI,3.0707,172.7902,81.48,81,89,16.15,moderate rain,2022-01-12 00:07:58
89,Hundested,DK,55.9667,11.8667,36.91,96,100,15.5,overcast clouds,2022-01-12 00:14:07
90,Dunedin,NZ,-45.8742,170.5036,56.66,64,75,16.73,broken clouds,2022-01-12 00:11:26
91,Kybartai,LT,54.6386,22.7632,18.36,88,7,2.93,clear sky,2022-01-12 00:14:08
92,East London,ZA,-33.0153,27.9116,67.71,81,64,7.78,broken clouds,2022-01-12 00:08:11
93,Bredasdorp,ZA,-34.5322,20.0403,61.29,70,100,7.14,overcast clouds,2022-01-12 00:08:29
94,Petropavlovka,RU,50.6114,105.3196,-12.48,96,37,3.74,scattered clouds,2022-01-12 00:12:13
95,Plaster Rock,CA,46.9065,-67.39,-8.88,96,73,3.44,broken clouds,2022-01-12 00:14:08
96,Salalah,OM,17.0151,54.0924,68.09,60,0,3.44,clear sky,2022-01-12 00:11:00
97,Methoni,GR,36.8197,21.7049,49.86,65,89,15.35,overcast clouds,2022-01-12 00:14:09
98,Russkaya Polyana,UA,49.417,31.9201,15.87,86,100,13.78,overcast clouds,2022-01-12 00:14:09
99,Isernia,IT,41.6002,14.2382,36.48,87,31,8.23,scattered clouds,2022-01-12 00:14:10
100,Mana,GF,5.6592,-53.7767,76.23,85,52,5.46,broken clouds,2022-01-12 00:14:10
101,Tecoanapa,MX,16.5167,-98.75,81.1,60,58,5.44,broken clouds,2022-01-12 00:10:38
102,Dikson,RU,73.5069,80.5464,-8.23,97,100,13.49,light snow,2022-01-12 00:07:55
103,Belousovka,KZ,50.1339,82.5239,-15.0,76,100,0.0,fog,2022-01-12 00:14:11
104,Palmer,US,42.1584,-72.3287,10.47,56,0,1.01,clear sky,2022-01-12 00:08:24
105,Port Lincoln,AU,-34.7333,135.8667,70.12,59,75,6.22,broken clouds,2022-01-12 00:11:01
106,Manoel Urbano,BR,-8.8389,-69.2597,78.04,79,82,2.48,light rain,2022-01-12 00:08:48
107,Katsuura,JP,35.1333,140.3,45.19,45,24,4.16,few clouds,2022-01-12 00:09:01
108,Longyearbyen,SJ,78.2186,15.6401,31.84,74,40,12.66,scattered clouds,2022-01-12 00:06:04
109,Bambous Virieux,MU,-20.3428,57.7575,77.22,85,100,14.29,light rain,2022-01-12 00:07:52
110,Hithadhoo,MV,-0.6,73.0833,82.42,71,100,10.0,overcast clouds,2022-01-12 00:08:31
111,Mansa,IN,29.9833,75.3833,47.43,83,0,3.71,clear sky,2022-01-12 00:14:12
112,Taltal,CL,-25.4,-70.4833,69.89,75,87,5.08,overcast clouds,2022-01-12 00:14:12
113,Isangel,VU,-19.55,169.2667,81.61,83,100,15.79,overcast clouds,2022-01-12 00:07:47
114,San Patricio,US,28.017,-97.5169,62.58,58,53,7.56,broken clouds,2022-01-12 00:08:30
115,Saskylakh,RU,71.9167,114.0833,-36.02,99,89,5.12,overcast clouds,2022-01-12 00:07:56
116,Pirayu,PY,-25.4833,-57.2333,82.53,33,1,4.76,clear sky,2022-01-12 00:14:13
117,Zhangye,CN,38.9342,100.4517,15.73,71,73,3.29,broken clouds,2022-01-12 00:14:13
118,Deputatskiy,RU,69.3,139.9,-24.81,97,96,3.74,overcast clouds,2022-01-12 00:14:14
119,Altea,ES,38.5989,-0.0514,51.78,79,1,6.17,clear sky,2022-01-12 00:14:14
120,Wynyard,AU,-41.0,145.7167,66.97,66,14,8.9,few clouds,2022-01-12 00:11:49
121,Bethel,US,41.3712,-73.414,17.49,63,0,0.0,clear sky,2022-01-12 00:08:02
122,Ndungu,TZ,-4.3667,38.05,69.12,87,74,4.34,broken clouds,2022-01-12 00:14:14
123,Carballo,ES,43.213,-8.691,54.01,90,83,8.48,broken clouds,2022-01-12 00:14:15
124,Ancud,CL,-41.8697,-73.8203,62.13,80,0,4.16,clear sky,2022-01-12 00:09:00
125,Lasa,IT,46.6166,10.7002,25.36,45,6,7.74,clear sky,2022-01-12 00:08:42
126,Porto Novo,BJ,6.4965,2.6036,81.18,80,97,6.73,overcast clouds,2022-01-12 00:14:15
127,San Quintin,MX,30.4833,-115.95,67.26,41,100,4.16,overcast clouds,2022-01-12 00:11:37
128,Saint George,US,37.1041,-113.5841,57.67,26,0,3.0,clear sky,2022-01-12 00:07:37
129,Chuy,UY,-33.6971,-53.4616,72.57,68,0,7.52,moderate rain,2022-01-12 00:08:06
130,Purranque,CL,-40.9167,-73.1667,70.29,56,0,5.03,clear sky,2022-01-12 00:14:16
131,Berlevag,NO,70.8578,29.0864,28.45,80,100,19.6,overcast clouds,2022-01-12 00:11:30
132,Grand Island,US,40.925,-98.342,49.28,33,0,4.61,clear sky,2022-01-12 00:14:16
133,Kaitangata,NZ,-46.2817,169.8464,56.41,73,99,15.73,overcast clouds,2022-01-12 00:08:19
134,College,US,64.8569,-147.8028,7.59,81,100,0.0,light snow,2022-01-12 00:06:12
135,Port Hardy,CA,50.6996,-127.4199,45.75,98,100,16.28,light rain,2022-01-12 00:09:37
136,Tiksi,RU,71.6872,128.8694,-13.02,91,100,8.16,overcast clouds,2022-01-12 00:08:35
137,Baoqing,CN,46.3317,132.2111,-8.55,89,18,7.25,few clouds,2022-01-12 00:14:17
138,Talnakh,RU,69.4865,88.3972,-9.8,98,100,5.26,overcast clouds,2022-01-12 00:10:17
139,Lillooet,CA,50.6856,-121.942,44.04,95,100,3.78,overcast clouds,2022-01-12 00:14:17
140,Dillon,US,34.4166,-79.3712,37.65,39,0,5.66,clear sky,2022-01-12 00:14:18
141,Hervey Bay,AU,-25.2986,152.8535,80.71,68,26,5.01,scattered clouds,2022-01-12 00:09:34
142,Ilulissat,GL,69.2167,-51.1,19.42,86,75,19.57,light snow,2022-01-12 00:08:41
143,Beisfjord,NO,68.3751,17.5988,39.25,94,100,12.37,light rain,2022-01-12 00:14:18
144,Swan River,CA,52.1058,-101.2676,14.31,96,100,8.55,overcast clouds,2022-01-12 00:14:19
145,Mahebourg,MU,-20.4081,57.7,77.25,85,100,14.34,light rain,2022-01-12 00:08:04
146,Dicabisagan,PH,17.0818,122.4157,71.53,87,85,8.03,overcast clouds,2022-01-12 00:11:34
147,Sulangan,PH,11.1373,123.7228,79.93,75,32,19.57,scattered clouds,2022-01-12 00:14:19
148,Huanren,CN,41.2647,125.3667,1.36,88,21,1.45,few clouds,2022-01-12 00:14:20
149,Gavle,SE,60.6745,17.1417,34.5,93,100,5.99,overcast clouds,2022-01-12 00:14:20
150,Port Hedland,AU,-20.3167,118.5667,95.05,43,59,10.36,broken clouds,2022-01-12 00:08:16
151,Amapa,BR,1.0,-52.0,71.94,97,100,2.59,overcast clouds,2022-01-12 00:10:58
152,Victoria,HK,22.2855,114.1577,60.24,77,98,4.0,overcast clouds,2022-01-12 00:04:02
153,Pinas,EC,-3.6667,-79.65,70.18,82,88,2.8,overcast clouds,2022-01-12 00:14:21
154,Airai,TL,-8.9266,125.4092,68.49,75,98,3.47,overcast clouds,2022-01-12 00:08:18
155,Lata,PT,40.1629,-8.3327,53.06,87,8,4.03,clear sky,2022-01-12 00:11:57
156,Manjakandriana,MG,-18.9167,47.8,62.29,96,98,1.03,overcast clouds,2022-01-12 00:14:21
157,Chaoyang,CN,41.5703,120.4586,14.65,38,97,1.88,overcast clouds,2022-01-12 00:14:22
158,Bengkulu,ID,-3.8004,102.2655,75.06,85,83,3.36,broken clouds,2022-01-12 00:08:32
159,Nadym,RU,65.5333,72.5167,-1.5,98,90,7.72,overcast clouds,2022-01-12 00:14:22
160,Russell,US,32.3502,-85.1999,46.0,70,0,3.44,clear sky,2022-01-12 00:14:22
161,Souillac,MU,-20.5167,57.5167,77.36,88,100,11.95,light rain,2022-01-12 00:08:51
162,Guerrero Negro,MX,27.9769,-114.0611,71.91,39,100,6.13,overcast clouds,2022-01-12 00:09:00
163,Patiya,BD,22.2931,91.9762,59.36,80,7,4.29,clear sky,2022-01-12 00:14:23
164,Nuuk,GL,64.1835,-51.7216,20.01,79,90,6.91,light snow,2022-01-12 00:14:23
165,Pisco,PE,-13.7,-76.2167,71.65,83,75,6.91,broken clouds,2022-01-12 00:08:55
166,Sfantu Gheorghe,RO,45.8667,25.7833,23.27,74,11,2.62,few clouds,2022-01-12 00:14:24
167,Pontes E Lacerda,BR,-15.2261,-59.3353,77.09,78,53,1.45,broken clouds,2022-01-12 00:14:24
168,Manakara,MG,-22.1333,48.0167,73.26,97,88,7.4,overcast clouds,2022-01-12 00:14:24
169,Dauphin,CA,51.1494,-100.0502,21.15,96,68,6.6,light snow,2022-01-12 00:09:08
170,Cabo San Lucas,MX,22.8909,-109.9124,82.06,58,20,5.01,few clouds,2022-01-12 00:08:16
171,Pionerskiy,RU,54.9508,20.2275,24.75,82,98,10.76,overcast clouds,2022-01-12 00:14:25
172,Hobart,AU,-42.8794,147.3294,65.01,77,75,1.99,broken clouds,2022-01-12 00:07:52
173,Cambridge,CA,43.3601,-80.3127,17.78,86,40,1.01,scattered clouds,2022-01-12 00:12:01
174,Cherskiy,RU,68.75,161.3,-31.52,99,72,3.11,broken clouds,2022-01-12 00:09:46
175,Lardos,GR,36.0942,28.0157,55.22,80,77,10.89,broken clouds,2022-01-12 00:14:26
176,Cap Malheureux,MU,-19.9842,57.6142,77.47,90,100,5.01,overcast clouds,2022-01-12 00:11:39
177,Zonguldak,TR,41.25,31.8333,41.95,98,100,4.81,overcast clouds,2022-01-12 00:14:26
178,Nikolskoye,RU,59.7035,30.7861,0.81,99,36,4.43,scattered clouds,2022-01-12 00:08:31
179,Sitka,US,57.0531,-135.33,42.69,87,100,5.75,light rain,2022-01-12 00:07:53
180,Lagos,NG,6.5833,3.75,79.72,85,98,3.15,overcast clouds,2022-01-12 00:06:51
181,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,91,38,18.07,scattered clouds,2022-01-12 00:09:47
182,Port Alfred,ZA,-33.5906,26.891,66.6,88,57,10.33,broken clouds,2022-01-12 00:08:16
183,Borovichi,RU,58.3878,33.9155,-14.44,100,100,0.81,overcast clouds,2022-01-12 00:14:27
184,Hovd,MN,48.0056,91.6419,-3.14,80,19,2.95,few clouds,2022-01-12 00:14:27
185,Blythe,US,33.6103,-114.5964,72.05,12,0,12.66,clear sky,2022-01-12 00:14:28
186,Ornskoldsvik,SE,63.2909,18.7153,25.75,100,75,3.44,fog,2022-01-12 00:14:28
187,Hambantota,LK,6.1241,81.1185,76.05,88,46,4.41,scattered clouds,2022-01-12 00:10:22
188,Bluff,NZ,-46.6,168.3333,54.81,81,97,24.72,overcast clouds,2022-01-12 00:07:51
189,Bin Qirdan,TN,33.1378,11.2197,51.26,64,22,14.41,few clouds,2022-01-12 00:14:29
190,Mae Sai,TH,20.4335,99.8762,61.45,78,93,1.45,overcast clouds,2022-01-12 00:14:29
191,Venezuela,VE,8.0,-66.0,84.58,44,57,9.15,broken clouds,2022-01-12 00:11:54
192,Susanville,US,40.4163,-120.653,43.81,67,0,1.99,clear sky,2022-01-12 00:14:29
193,Mopipi,BW,-21.1833,24.8833,72.5,76,100,8.5,overcast clouds,2022-01-12 00:14:30
194,Touros,BR,-5.1989,-35.4608,80.19,72,60,9.51,broken clouds,2022-01-12 00:10:01
195,Akmene,LT,56.25,22.75,11.05,91,6,5.73,clear sky,2022-01-12 00:14:30
196,Alyangula,AU,-13.8483,136.4192,79.79,81,100,26.37,heavy intensity rain,2022-01-12 00:08:46
197,Honiara,SB,-9.4333,159.95,84.65,75,100,7.94,moderate rain,2022-01-12 00:12:31
198,Nichinan,JP,31.6,131.3667,35.76,56,4,7.83,clear sky,2022-01-12 00:14:31
199,Shelbyville,US,35.4834,-86.4603,39.67,67,0,0.0,clear sky,2022-01-12 00:12:37
200,Gananoque,CA,44.3334,-76.1661,7.47,78,78,7.29,broken clouds,2022-01-12 00:14:31
201,Kilindoni,TZ,-7.9139,39.6668,81.7,75,99,15.08,overcast clouds,2022-01-12 00:11:27
202,Tynset,NO,62.2759,10.7824,20.82,100,99,5.39,overcast clouds,2022-01-12 00:14:32
203,Para De Minas,BR,-19.8603,-44.6083,67.39,96,99,1.07,moderate rain,2022-01-12 00:14:32
204,Thompson,CA,55.7435,-97.8558,-11.06,84,99,9.04,overcast clouds,2022-01-12 00:08:08
205,Terrell,US,32.736,-96.2753,54.75,35,0,4.61,clear sky,2022-01-12 00:14:32
206,Carnarvon,AU,-24.8667,113.6333,78.87,73,0,12.66,clear sky,2022-01-12 00:08:45
207,Itoman,JP,26.1247,127.6694,59.02,59,75,17.27,broken clouds,2022-01-12 00:09:30
208,Leningradskiy,RU,69.3833,178.4167,-18.08,96,93,7.49,overcast clouds,2022-01-12 00:09:52
209,Naryan-Mar,RU,67.6713,53.087,13.26,92,92,16.42,overcast clouds,2022-01-12 00:14:33
210,Camas,ES,37.402,-6.0331,53.01,84,0,3.0,clear sky,2022-01-12 00:14:33
211,Aragats,AM,40.4889,44.3528,22.57,96,86,6.08,overcast clouds,2022-01-12 00:14:34
212,Matara,LK,5.9485,80.5353,76.01,87,47,2.91,scattered clouds,2022-01-12 00:10:38
213,Teeli,RU,51.0333,90.2333,-12.75,95,100,1.23,overcast clouds,2022-01-12 00:14:34
214,Mandalgovi,MN,45.7625,106.2708,0.82,81,0,7.07,clear sky,2022-01-12 00:09:39
215,Bend,US,44.0582,-121.3153,52.88,42,20,3.0,few clouds,2022-01-12 00:09:39
216,Bida,NG,9.0833,6.0167,79.52,21,9,3.71,clear sky,2022-01-12 00:14:35
217,Basar,IN,27.9833,94.6667,53.06,64,81,2.21,broken clouds,2022-01-12 00:14:35
218,La Ronge,CA,55.1001,-105.2842,1.71,97,100,4.54,overcast clouds,2022-01-12 00:11:21
219,Villa Carlos Paz,AR,-31.4241,-64.4978,89.06,26,28,1.66,scattered clouds,2022-01-12 00:14:36
220,Arona,ES,28.0996,-16.681,61.39,57,0,1.99,clear sky,2022-01-12 00:14:36
221,Charters Towers,AU,-20.1,146.2667,86.31,46,55,12.55,broken clouds,2022-01-12 00:14:36
222,Hurghada,EG,27.2574,33.8129,60.21,44,0,1.43,clear sky,2022-01-12 00:14:37
223,Codrington,AU,-38.2667,141.9667,74.97,55,97,13.02,overcast clouds,2022-01-12 00:08:38
224,Chokwe,MZ,-24.5333,32.9833,74.41,90,97,4.94,light rain,2022-01-12 00:14:37
225,Nouadhibou,MR,20.931,-17.0347,66.38,62,90,12.62,overcast clouds,2022-01-12 00:08:40
226,Auki,SB,-8.7676,160.7034,82.0,82,100,8.08,overcast clouds,2022-01-12 00:14:38
227,Mackenzie,CA,55.2999,-123.1698,35.82,93,100,9.22,overcast clouds,2022-01-12 00:14:38
228,Tongchuan,CN,35.0806,109.0897,32.16,41,43,10.42,scattered clouds,2022-01-12 00:14:38
229,Ribeira Grande,PT,38.5167,-28.7,62.69,84,15,14.81,few clouds,2022-01-12 00:08:01
230,La Rioja,ES,42.25,-2.5,42.04,95,71,4.9,broken clouds,2022-01-12 00:10:23
231,Dandong,CN,40.1292,124.3947,9.03,54,6,4.97,clear sky,2022-01-12 00:14:39
232,Henties Bay,NA,-22.116,14.2845,64.85,95,8,3.85,clear sky,2022-01-12 00:10:44
233,Maceio,BR,-9.6658,-35.7353,79.16,71,59,9.66,broken clouds,2022-01-12 00:14:06
